20
0,12,9,4,6,9,2,6,4,9,7,13,9,10,9,10,9,4,11,7
9,0,2,4,11,10,7,6,9,8,9,12,12,7,7,6,4,5,11,4
9,7,0,10,9,8,5,5,7,10,8,13,12,5,8,12,11,7,10,2
13,10,9,0,12,7,9,2,9,7,5,16,14,9,11,9,14,5,7,6
9,7,5,6,0,8,5,5,3,6,6,8,12,5,3,4,8,5,10,2
6,12,10,2,7,0,3,2,5,4,5,10,10,2,5,9,10,5,7,8
12,11,7,5,4,7,0,6,2,7,5,12,7,9,7,8,7,2,12,6
11,14,13,7,12,5,8,0,10,5,3,14,14,7,9,14,15,3,12,10
10,12,5,3,12,5,8,5,0,5,3,13,13,7,8,7,5,2,10,7
16,10,8,12,8,10,8,8,10,0,11,16,13,8,11,12,14,10,13,5
8,11,10,4,9,2,5,4,7,2,0,12,12,4,7,11,12,7,9,7
14,16,9,7,15,9,12,9,4,9,7,0,10,8,10,11,9,4,13,11
17,18,15,13,11,15,8,14,10,14,13,10,0,12,14,12,15,10,10,13
9,14,12,11,7,9,11,4,10,9,7,8,12,0,3,7,15,4,5,9
6,15,14,10,12,12,8,7,9,12,10,5,15,10,0,16,14,9,15,13
5,12,6,9,8,11,4,10,6,2,9,16,11,10,11,0,11,5,15,7
5,9,7,9,10,13,6,10,8,4,11,8,9,12,3,2,0,7,15,9
12,20,15,13,18,11,14,6,15,11,9,11,11,13,6,17,20,0,15,16
7,12,8,11,5,13,6,10,8,4,11,13,7,10,8,2,13,7,0,7
12,5,3,8,7,6,3,3,5,8,6,11,10,3,6,10,9,5,8,0
