100
0,2,0,43,63,0,0,5,68,46,13,17,41,0,5,65,15,10,2,10,91,24,65,43,6,0,43,50,83,0,69,27,60,72,25,50,10,2,2,90,25,70,6,0,69,90,5,13,89,51,0,0,8,5,20,96,50,13,99,24,0,24,5,13,83,2,27,81,13,13,6,46,68,5,68,77,37,72,23,40,65,72,53,13,29,38,10,60,0,65,5,65,21,8,2,18,6,24,14,2
85,1,1,43,1,52,15,60,66,27,97,56,4,27,5,1,15,19,2,60,54,1,65,27,23,73,1,1,27,1,60,27,60,52,79,28,15,15,27,15,27,70,6,4,21,21,5,21,27,4,52,28,1,28,1,20,54,26,21,66,1,1,27,27,87,27,27,59,26,32,21,46,54,66,68,59,87,19,23,87,59,72,16,43,95,27,62,1,27,21,5,65,21,33,4,38,6,49,92,92
63,2,2,91,2,18,15,5,61,46,42,58,41,59,5,65,15,19,2,60,91,1,65,58,12,95,18,50,83,51,22,18,60,52,41,65,69,2,2,15,42,2,65,4,55,90,5,11,89,51,65,18,2,18,20,20,15,26,99,58,65,91,5,2,83,2,15,81,26,32,16,65,80,60,2,77,37,38,23,58,65,99,16,18,95,38,41,60,35,65,5,65,21,51,2,18,22,49,14,2
78,19,16,3,63,49,53,48,61,46,97,58,80,59,5,65,23,20,3,60,23,23,3,58,23,73,49,50,27,3,69,27,60,3,79,3,69,58,27,35,47,70,57,82,69,11,58,11,59,3,3,45,45,3,20,20,50,3,3,58,23,58,27,27,50,3,27,59,13,11,66,46,80,79,68,59,37,3,23,58,59,69,53,13,58,3,11,60,35,93,5,65,21,33,47,50,22,49,35,8
78,83,4,43,4,49,4,97,61,46,97,58,4,26,5,94,15,10,2,10,23,23,65,43,43,49,43,89,83,51,94,75,60,43,78,64,94,15,2,4,64,2,57,4,26,90,12,23,97,4,55,18,97,12,20,43,4,4,94,24,23,24,43,2,4,2,15,59,26,32,4,46,43,64,12,94,48,72,23,58,4,72,16,43,30,55,62,60,4,43,5,65,21,4,4,18,64,49,14,2
98,19,14,14,63,5,53,5,61,46,62,36,96,59,5,71,71,19,2,7,91,71,53,46,23,73,84,9,27,9,69,7,60,39,14,73,45,25,9,90,25,46,55,82,69,90,5,39,53,98,14,71,45,5,20,96,54,95,20,5,62,90,5,14,45,98,27,81,5,98,71,46,39,5,90,14,82,19,23,48,65,14,53,8,62,38,62,5,27,93,5,14,21,5,73,90,90,49,14,86
96,19,70,12,1,49,6,97,61,24,42,17,41,59,51,65,15,10,2,60,91,24,65,61,6,40,49,50,41,51,40,6,60,44,41,70,10,15,9,90,42,70,6,60,55,42,51,40,97,51,55,70,55,55,41,96,44,26,29,24,24,24,45,2,45,6,51,59,13,32,6,41,80,60,12,59,82,10,23,41,59,69,53,8,29,55,41,60,96,65,24,65,21,51,12,41,6,24,70,2
7,19,16,11,1,52,15,7,61,77,97,17,4,17,5,7,7,19,2,7,54,1,25,27,17,19,1,1,27,9,69,7,60,19,7,73,69,15,27,90,25,70,55,4,21,11,5,34,97,34,55,70,1,55,1,31,54,7,21,24,1,17,27,75,34,27,19,17,13,11,16,90,31,34,68,77,31,19,23,87,31,72,16,13,95,27,75,1,27,7,19,65,21,19,73,31,64,24,80,7
8,83,0,14,1,52,0,5,8,77,42,93,8,0,5,93,15,19,33,52,8,1,81,58,48,64,1,89,83,51,69,75,52,52,52,99,45,89,89,90,64,70,93,82,32,8,5,11,93,51,52,83,8,28,20,20,8,15,99,58,28,28,45,72,83,89,27,81,52,32,93,46,93,64,68,77,82,72,23,58,59,72,8,8,58,38,62,89,27,93,5,14,21,8,72,38,52,49,14,8
85,19,85,38,63,9,15,9,66,9,97,17,96,27,5,29,15,29,27,60,88,23,65,27,23,95,84,9,27,9,69,27,60,44,7,28,69,15,9,90,27,70,55,60,66,90,5,11,27,96,55,28,55,55,88,96,15,95,29,66,9,28,27,27,45,27,27,59,13,66,66,29,31,66,66,77,31,38,23,58,59,14,53,13,29,38,62,60,27,65,5,65,9,9,9,38,9,9,14,92
25,19,17,11,1,18,15,97,61,77,10,17,4,17,5,1,15,10,10,10,54,1,65,27,17,19,1,1,27,9,69,10,60,19,25,99,10,15,9,90,47,70,65,4,69,11,5,11,97,4,36,18,1,61,1,24,54,19,99,24,1,17,45,18,45,86,19,17,13,11,21,36,54,36,68,77,82,10,23,58,31,99,10,13,30,27,10,1,27,65,19,65,21,17,86,18,9,24,92,10
40,19,16,11,84,52,30,81,68,46,69,11,94,59,5,94,15,19,33,86,91,11,81,58,48,40,84,30,52,51,69,75,52,44,79,64,69,15,68,90,47,44,45,81,69,11,51,11,44,51,52,45,45,11,11,96,44,47,94,11,11,90,45,13,45,86,15,81,69,11,74,90,68,64,68,59,48,72,35,40,59,69,53,45,30,55,11,45,35,65,45,65,21,8,47,64,64,49,44,86
78,19,16,12,1,9,15,94,61,46,97,58,12,59,5,94,15,19,2,60,91,24,53,46,12,12,84,74,27,9,94,75,60,12,25,68,94,15,9,15,25,70,55,60,55,90,12,11,97,51,55,71,71,12,20,24,15,94,94,24,24,24,27,27,87,27,27,59,94,32,74,46,68,71,12,94,82,19,23,58,59,69,53,8,30,55,75,60,27,12,24,74,21,12,12,53,9,24,92,24
63,19,4,68,63,49,13,81,68,46,13,17,41,13,51,1,71,10,10,10,91,1,81,46,13,19,49,74,83,51,69,75,72,72,41,68,10,63,68,90,64,13,57,4,69,90,51,13,44,51,55,13,8,28,1,68,44,13,99,24,28,90,81,13,83,2,27,81,13,13,74,46,68,64,68,77,82,72,35,41,72,72,68,13,30,38,10,75,35,93,13,74,21,8,4,38,72,74,44,8
