20
0,19,8,0,6,10,0,3,6,10,0,0,6,19,4,4,8,0,3,0
16,1,1,1,2,19,19,3,6,15,7,14,1,19,16,16,1,1,3,2
2,19,2,19,2,19,19,19,6,10,7,14,6,19,13,2,1,6,13,2
7,3,19,3,18,10,19,3,3,10,7,14,18,5,17,18,3,7,3,3
14,19,19,8,4,10,19,19,4,15,8,14,6,19,4,4,8,8,13,4
5,3,8,5,6,5,5,5,6,5,7,14,6,5,13,18,8,6,13,3
16,6,8,8,6,10,6,6,6,10,8,14,6,5,4,4,8,6,3,4
7,10,19,5,6,10,5,7,7,10,7,14,17,5,17,18,8,7,10,9
16,19,8,8,8,10,8,3,8,10,8,14,17,5,16,16,8,8,3,2
5,19,19,5,9,9,19,19,6,9,7,14,9,19,4,4,1,6,9,9
5,10,19,5,6,10,5,5,6,10,10,14,6,5,13,18,8,6,10,9
16,19,8,8,13,10,8,3,11,10,8,11,11,11,17,16,8,11,13,2
12,19,8,8,12,10,12,6,6,12,8,12,12,12,4,18,8,6,12,4
14,19,19,5,13,10,0,13,4,10,7,14,18,13,13,18,8,13,13,4
14,14,14,0,6,10,0,14,11,10,14,14,6,14,14,4,8,11,13,0
15,19,15,0,6,10,15,6,6,15,8,14,6,19,4,15,8,15,9,15
16,16,16,0,6,10,15,16,6,15,16,14,16,19,16,16,16,15,16,2
14,10,17,5,6,10,5,17,11,10,7,14,17,5,17,18,8,17,17,9
15,19,15,8,18,10,15,19,4,15,8,14,18,19,4,18,18,15,18,4
19,19,19,19,6,19,19,19,6,10,7,14,6,19,13,18,1,6,13,19
